Orf;Name;Desc;"48hr VAN vs 48 hr NO ABX log2FC";"48hr VAN vs 48 hr NO ABX Adj. p-value";"48hr LZD vs 48 hr NO ABX log2FC";"48hr LZD vs 48 hr NO ABX Adj. p-value";"48hr CPT vs 48 hr NO ABX log2FC";"48hr CPT vs 48 hr NO ABX Adj. p-value";"48hr DEL vs 48 hr NO ABX log2FC";"48hr DEL vs 48 hr NO ABX Adj. p-value"
SAUSA300_RS08795;-;hypothetical protein;1.86;0.85259;-0.32;0.99937;0.18;1;-0.2;1
SAUSA300_RS08820;-;cytochrome c biogenesis protein;0.16;1;0.49;0.96117;1.07;0.44542;1.17;0.65789
SAUSA300_RS08835;clpX;ATP-dependent Clp protease ATP-binding subunit ClpX;-2.3;0.79858;-0.13;1;-0.04;1;0.74;1
SAUSA300_RS08840;tig;trigger factor;1.01;0.95283;1.46;0.23843;1.07;0.49936;1.81;0.0731
SAUSA300_RS08845;-;hypothetical protein;-0.01;1;0.51;0.91359;0.77;0.87315;0.8;0.71063
SAUSA300_RS08850;-;hypothetical protein;-0.53;0.72791;-0.15;1;0.08;1;-0.1;1
SAUSA300_RS08855;-;NUDIX domain-containing protein;0.49;1;1.64;0.53236;1.33;0.5947;1.47;0.62165
SAUSA300_RS08885;thrS;threonine--tRNA ligase;-0.92;1;0.65;0.64282;0.34;0.95945;0.62;0.86536
SAUSA300_RS08910;gap;type I glyceraldehyde-3-phosphate dehydrogenase;-0.17;1;0.03;1;0.9;0.97418;-0.06;1
SAUSA300_RS08920;mutM;bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase;0.4;1;-0.32;0.94943;0.19;1;0.27;1
SAUSA300_RS08925;polA;DNA polymerase I;0.94;0.28458;-0.69;0.48226;-0.25;0.99761;-0.52;0.59265
SAUSA300_RS08930;-;hypothetical protein;0.52;0.40534;-0.29;0.52664;-0.12;0.99166;-0.22;0.7329
SAUSA300_RS08935;-;ATP-binding protein;0.01;1;-0.18;0.93712;0.08;1;-0.11;1
SAUSA300_RS08940;-;response regulator transcription factor;0.73;0.93212;0.51;0.52664;0.42;0.80514;0.36;0.84379
SAUSA300_RS08950;icd;NADP-dependent isocitrate dehydrogenase;0.51;1;1;0.6838;0.47;0.9968;2.36;0
SAUSA300_RS08955;-;citrate synthase;0.6;1;0.16;1;1.16;0.3056;1.04;0.59265
SAUSA300_RS08960;-;amino acid permease;-0.58;0.27675;0.69;0;0.84;0;0.39;0.20585
SAUSA300_RS08975;pyk;pyruvate kinase;-1.76;0.85259;-1.43;0.64282;-0.26;1;-0.31;1
SAUSA300_RS08985;-;acetyl-CoA carboxylase carboxyltransferase subunit alpha;-2.74;0.26044;-0.69;0.63204;-0.46;0.85164;-0.17;1
SAUSA300_RS09000;-;DNA polymerase III subunit alpha;-0.14;1;0.66;0.52664;0.35;0.9646;0.55;0.60801
SAUSA300_RS09010;-;CBS domain-containing protein;-0.45;0.85259;0.13;0.98684;0.44;0.44542;0.34;0.71063
SAUSA300_RS09015;-;universal stress protein;-0.15;1;0.05;1;1.22;0.20741;0.15;1
SAUSA300_RS09020;-;metal-dependent hydrolase;-0.65;0.85259;-0.57;0.63204;-0.35;0.98416;-0.22;1
SAUSA300_RS09025;-;Xaa-Pro peptidase family protein;-0.18;1;-0.29;0.94943;-0.14;1;-0.12;1
SAUSA300_RS09030;-;hypothetical protein;-1.34;1;-0.73;1;-1.53;0.96469;-1.07;0.98563
SAUSA300_RS09035;ald;alanine dehydrogenase;0.5;0.98197;0.49;0.48817;0.48;0.5947;0.49;0.59265
SAUSA300_RS09040;-;universal stress protein;-0.35;1;-1.58;0.72823;-1.41;0.8831;-0.33;1
SAUSA300_RS09045;-;acetate kinase;0.03;1;-0.07;1;-0.04;1;-0.07;1
SAUSA300_RS09050;-;class I SAM-dependent methyltransferase;0.94;0.91856;0.2;0.98684;0.44;0.87315;1.05;0.21319
SAUSA300_RS09055;tpx;thiol peroxidase;0.07;1;-0.84;0.53236;-0.6;0.93389;-0.58;0.92617
SAUSA300_RS09060;-;TSUP family transporter;0.14;1;-0.55;0.26158;-0.29;0.89681;-0.24;0.961
SAUSA300_RS09065;thiI;tRNA 4-thiouridine(8) synthase ThiI;0.11;1;1.55;0;0.56;0.17544;1.29;0
SAUSA300_RS09070;-;cysteine desulfurase;-0.16;1;0.18;1;0.11;1;0.05;1
SAUSA300_RS09075;-;hypothetical protein;1.07;0.99554;0.78;0.64282;0.89;0.7907;0.28;1
SAUSA300_RS09080;ezrA;septation ring formation regulator EzrA;-0.74;0.99124;-0.19;1;0.35;0.99166;0.18;1
SAUSA300_RS09085;-;GAF domain-containing protein;-2.81;0;-0.42;0.95761;0.05;1;-0.25;1
SAUSA300_RS09100;-;glycerophosphoryl diester phosphodiesterase;0.45;0.89432;0.59;0.26158;0.71;0.16595;0.53;0.26219
SAUSA300_RS09105;-;OsmC family protein;-1.55;0.60101;-0.51;0.93712;-0.68;0.89681;-1.06;0.67537
SAUSA300_RS09110;-;alanine--glyoxylate aminotransferase family protein;0.18;1;-0.09;1;-0.21;0.98675;-0.17;1
SAUSA300_RS09115;serA;phosphoglycerate dehydrogenase;0.34;0.97212;0.19;0.94943;0.06;1;0.29;0.74492
SAUSA300_RS09120;-;hypothetical protein;1.94;1;0.38;1;0.12;1;0.67;0.96793
SAUSA300_RS09125;-;HAD family hydrolase;0.79;0.36219;0.39;0.42174;0.41;0.61022;0.26;0.80885
SAUSA300_RS09130;nagE;N-acetylglucosamine-specific PTS transporter subunit IIBC;0.02;1;-0.13;0.97831;-0.01;1;-0.01;1
SAUSA300_RS09140;-;trypsin-like peptidase domain-containing protein;-0.36;0.89432;-0.65;0.36682;-0.26;0.90823;-0.49;0.60801
SAUSA300_RS09145;tyrS;tyrosine--tRNA ligase;-0.32;1;-0.81;1;-0.36;1;-1.16;0.92432
SAUSA300_RS09150;-;penicillin-binding protein;0.44;0.67203;-0.41;0.52664;-0.17;0.96952;-0.15;1
SAUSA300_RS09160;harA;haptoglobin-binding heme uptake protein HarA;0.21;0.97212;-0.08;1;0.06;1;-0.09;1
SAUSA300_RS09165;-;formate--tetrahydrofolate ligase;0.76;0.72791;0.81;0;0.85;0.01613;0.35;0.71684
SAUSA300_RS09170;acsA;acetate--CoA ligase;1.17;0.11276;0.43;0.42;0.49;0.36387;0.39;0.60801
SAUSA300_RS09175;-;hypothetical protein;-0.3;1;-0.71;0.37531;-0.57;0.68733;-0.74;0.30075
SAUSA300_RS09180;-;acetoin utilization protein AcuC;0.99;0.4383;0.58;0.14931;0.76;0.09868;0.31;0.86536
SAUSA300_RS09185;ccpA;catabolite control protein A;-1.88;0.2005;-0.45;0.90175;-0.2;1;-0.57;0.75246
SAUSA300_RS09190;-;hypothetical protein;0.74;1;3.18;0.14842;3.15;0.11713;2.42;0.45129
SAUSA300_RS09195;-;bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase;-0.19;1;-0.2;1;0.18;1;0.59;0.65789
SAUSA300_RS09200;-;hypothetical protein;-2.08;0.98491;-1.65;0.99283;-1.11;1;-1.59;1
SAUSA300_RS09205;-;membrane protein;0.25;1;-0.2;0.95324;0.05;1;-0.31;0.85478
SAUSA300_RS09210;-;DUF948 domain-containing protein;1.99;0.91856;0.34;0.98589;0.53;0.96469;0.61;0.98454
SAUSA300_RS09215;murC;UDP-N-acetylmuramate--L-alanine ligase;-1.11;1;0.25;1;-0.43;1;-0.22;1
SAUSA300_RS09235;-;thioredoxin family protein;-0.45;0.99226;0.18;1;-0.11;1;0.13;1
SAUSA300_RS09240;-;M42 family metallopeptidase;-0.22;1;-0.58;0.51412;-0.45;0.80514;-0.41;0.69663
SAUSA300_RS09245;-;PepSY domain-containing protein;-0.73;1;2.71;0.51412;2.01;0.44846;2.94;0.2602
SAUSA300_RS09250;-;MBL fold metallo-hydrolase;0.47;0.91262;0.15;0.97452;0.11;1;0.18;0.9739
SAUSA300_RS09255;trmB;tRNA (guanosine(46)-N7)-methyltransferase TrmB;-0.96;0.38277;-0.51;0.7068;-0.03;1;-0.58;0.59265
SAUSA300_RS09260;-;phosphotransferase family protein;0.59;0.99226;-0.07;1;-0.53;0.98853;0.2;1
SAUSA300_RS09265;dat;D-amino-acid transaminase;0.7;0.8278;0.39;0.58183;-0.11;1;0.42;0.63899
SAUSA300_RS09270;sapep;Mn(2+)-dependent dipeptidase Sapep;0.03;1;0.56;0.28909;0.58;0.29667;0.43;0.63899
SAUSA300_RS09275;-;YtxH domain-containing protein;0.58;0.99554;0.3;0.94943;-0.06;1;-0.19;1
SAUSA300_RS09280;-;rRNA pseudouridine synthase;1.13;0.61256;0.66;0.22456;0.67;0.14694;0.56;0.3464
SAUSA300_RS09290;-;NAD(P)/FAD-dependent oxidoreductase;0.42;1;0.86;0.18797;0.96;0.10285;0.91;0.06868
SAUSA300_RS09295;sasC;LPXTG-anchored repetitive surface protein SasC;0;1;-0.22;0.53236;-0.21;0.64931;-0.1;1
SAUSA300_RS09300;-;rhodanese-like domain-containing protein;0.78;0.99946;-0.34;0.91359;-0.01;1;-0.04;1
SAUSA300_RS09310;-;MFS transporter;-0.15;1;-0.58;0.20793;-0.28;0.74561;-0.43;0.49866
SAUSA300_RS09315;-;TIGR01212 family radical SAM protein;0.43;0.9575;-0.06;1;0.21;0.98416;-0.07;1
SAUSA300_RS09320;-;class I SAM-dependent methyltransferase;0.13;1;-0.6;0.15362;-0.2;0.93389;-0.37;0.63899
SAUSA300_RS09325;-;MarR family transcriptional regulator;2.19;0.85259;0.11;1;-0.17;1;0.78;0.78233
SAUSA300_RS09335;-;transposase;-0.17;1;-0.17;0.99426;0.22;0.93389;-0.27;0.83319
SAUSA300_RS09340;-;alpha/beta hydrolase;-0.51;0.89432;0.03;1;0.19;1;0.19;0.98563
SAUSA300_RS09345;-;hypothetical protein;0.27;1;-0.34;0.95324;-0.05;1;0.05;1
SAUSA300_RS09350;-;proline dehydrogenase;1.18;0.24813;0.54;0.30491;0.44;0.44542;0.58;0.40935
SAUSA300_RS09355;ribE;6%2C7-dimethyl-8-ribityllumazine synthase;2.29;0.81531;0.46;0.94065;0.85;0.61022;0.76;0.7329
SAUSA300_RS09360;ribB;3%2C4-dihydroxy-2-butanone-4-phosphate synthase;0.12;1;-0.09;1;-0.14;1;-0.38;0.85478
SAUSA300_RS09365;-;riboflavin synthase;-1.41;0.0138;0.23;0.94943;0.25;0.98022;0.08;1
SAUSA300_RS09370;ribD;bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD;0.25;1;0.23;0.77889;0.14;0.99975;0.33;0.59265
SAUSA300_RS09375;-;FAD/NAD(P)-binding domain-containing protein;-0.1;1;-0.5;0.14281;-0.47;0.18407;-0.4;0.38079
SAUSA300_RS09380;-;metalloregulator ArsR/SmtB family transcription factor;0.47;0.8632;0.59;0.24548;0.15;1;0.38;0.62165
SAUSA300_RS09385;arsB;arsenite efflux transporter membrane subunit ArsB;-0.36;0.91262;0.08;1;0.22;0.8831;0.14;1
SAUSA300_RS09390;arsC;arsenate reductase (thioredoxin);-1.54;0.09357;-0.63;0.66252;-0.31;1;-0.45;0.80885
SAUSA300_RS09400;-;hypothetical protein;-1.24;0.85259;-0.18;1;0.8;0.7907;0.13;1
SAUSA300_RS09405;sigS;RNA polymerase sigma factor SigS;0.51;0.91856;0.16;1;0.59;0.44846;0.08;1
SAUSA300_RS09410;-;competence protein ComK;0.23;1;-0.02;1;0.55;0.75076;0;1
SAUSA300_RS09415;-;hypothetical protein;0.17;1;-0.95;0.30895;-0.52;0.76849;-0.02;1
SAUSA300_RS09420;sdpA;CPBP family intramembrane metalloprotease SdpA;-0.11;1;0.27;0.86447;0.2;0.99975;0.39;0.67537
SAUSA300_RS09425;-;transaldolase;0.27;1;0.28;0.87871;0.35;0.92568;0.51;0.71684
SAUSA300_RS09430;-;hypothetical protein;-3.12;0.26801;-1.37;0.61787;-0.91;0.95945;-1.18;0.80885
SAUSA300_RS09435;crcB;fluoride efflux transporter CrcB;0.73;0.91856;-0.02;1;0.35;0.88965;0.34;0.71063
SAUSA300_RS09440;-;CrcB family protein;-0.4;1;-0.9;0.77285;-0.56;0.98416;-0.43;1
SAUSA300_RS09455;-;aldo/keto reductase;0.56;0.96622;0.17;1;0.12;1;0.23;1
SAUSA300_RS09465;metK;methionine adenosyltransferase;0.2;1;-0.85;0.97831;-0.76;0.98853;-0.67;1
SAUSA300_RS09475;tnpA;IS200/IS605 family transposase;0.36;1;-0.12;1;0.11;1;-0.08;1
SAUSA300_RS09480;-;prolyl oligopeptidase family serine peptidase;-0.91;0.85259;-0.73;0.5783;-0.68;0.80514;-0.66;0.89558
SAUSA300_RS09485;ytkD;nucleoside triphosphatase YtkD;0.48;0.9575;-0.46;0.7068;-0.38;0.91805;-0.73;0.51106
SAUSA300_RS09490;yidD;membrane protein insertion efficiency factor YidD;-1.58;1;0.99;0.8264;0.69;1;2.25;0.63899
SAUSA300_RS09495;menC;o-succinylbenzoate synthase;-1.51;0.26044;-0.39;0.94689;-0.97;0.44542;-0.55;0.80885
SAUSA300_RS09500;menE;o-succinylbenzoate--CoA ligase;-1.2;0.27121;-1.13;0.1326;-0.8;0.40747;-1.2;0.22387
SAUSA300_RS09505;-;DUF4909 domain-containing protein;0.7;0.63928;-0.04;1;-0.16;0.99166;-0.11;1
SAUSA300_RS09510;-;excalibur calcium-binding domain-containing protein;0.26;1;-0.13;0.99283;0;1;-0.22;0.76816
SAUSA300_RS09515;-;DUF4352 domain-containing protein;0.42;0.9575;-0.28;0.90175;-0.33;0.90643;-0.29;0.92432
SAUSA300_RS09520;-;hypothetical protein;-0.41;1;0.03;1;-0.09;1;0.09;1
SAUSA300_RS09525;-;DUF3969 family protein;-0.68;0.90275;-0.71;0.77285;-0.16;1;-0.66;0.88532
SAUSA300_RS09530;-;hypothetical protein;0.2;1;-0.18;0.95324;0.01;1;-0.2;0.89558
SAUSA300_RS09535;-;ImmA/IrrE family metallo-endopeptidase;-0.46;0.90275;-0.67;0.19442;-0.11;1;-0.21;1
SAUSA300_RS09545;-;hypothetical protein;-0.45;1;-0.53;1;0.17;1;0.39;1
SAUSA300_RS09550;-;hypothetical protein;0.29;1;0.24;0.845;0.6;0.3763;0.01;1
SAUSA300_RS09560;-;transposase;0.74;1;-1.17;0.94943;-0.56;1;-1.1;0.99525
SAUSA300_RS09565;-;hypothetical protein;-2.36;1;-2.35;1;-2.33;1;1.23;1
SAUSA300_RS09570;-;DUF1433 domain-containing protein;-0.35;1;1.06;0.40816;0.74;0.80514;0.53;0.84379
SAUSA300_RS09575;-;SMEK domain-containing protein;-0.03;1;-0.21;0.39994;-0.06;1;-0.21;0.44763
SAUSA300_RS09580;-;restriction endonuclease subunit S;-0.18;1;0.4;0.62465;0.27;0.96952;-0.1;1
SAUSA300_RS09585;-;type I restriction-modification system subunit M;-0.21;1;-0.23;0.86942;-0.01;1;-0.08;1
SAUSA300_RS09590;-;hypothetical protein;-0.96;0.64902;-1.12;0.3945;-0.62;0.802;-0.85;0.63899
SAUSA300_RS09595;splF;serine protease SplF;0.4;1;-0.18;1;-0.15;1;-0.11;1
SAUSA300_RS09600;splE;serine protease SplE;-0.56;0.89432;-0.16;1;-0.17;1;-0.46;0.75246
SAUSA300_RS09605;splD;serine protease SplD;-0.65;0.61022;-0.04;1;0.04;1;-0.11;1
SAUSA300_RS09610;splC;serine protease SplC;-0.07;1;-0.27;1;0.13;1;0.25;1
SAUSA300_RS09615;splB;serine protease SplB;0.87;0.85259;-0.55;0.89186;0.16;1;-0.17;1
SAUSA300_RS09620;splA;serine protease SplA;0.14;1;-0.67;0.78619;-0.15;1;-0.61;0.93411
SAUSA300_RS09630;-;DUF4888 domain-containing protein;-0.2;1;-0.27;0.91776;-0.07;1;0.1;1
SAUSA300_RS09640;-;lantibiotic immunity ABC transporter MutE/EpiE family permease subunit;-0.32;0.8278;-0.23;0.77285;-0.17;0.97418;-0.3;0.62165
SAUSA300_RS09645;-;lantibiotic protection ABC transporter ATP-binding subunit;-0.38;1;0.09;1;0.52;0.5412;0.58;0.45901
SAUSA300_RS09650;-;S8 family serine peptidase;0.99;0.22161;0.16;0.86942;0.47;0.16609;0.18;0.80885
SAUSA300_RS09655;-;flavoprotein;0.08;1;-0.12;1;-0.48;0.802;-0.21;1
SAUSA300_RS09660;-;lanthionine synthetase C family protein;0.26;1;-0.11;1;0.28;0.89681;0.05;1
SAUSA300_RS09665;-;lantibiotic dehydratase;-0.03;1;-0.1;0.93712;-0.01;1;-0.13;0.82127
SAUSA300_RS09670;-;gallidermin/nisin family lantibiotic;2.14;0.89432;-0.25;1;-0.19;1;-0.03;1
SAUSA300_RS09675;-;gallidermin/nisin family lantibiotic;1.99;1;0.53;0.94943;0.84;1;0.21;1
SAUSA300_RS09680;lukD;bi-component leukocidin LukED subunit D;0.59;0.69065;-0.1;1;-0.06;1;0;1
SAUSA300_RS09685;lukE;bi-component leukocidin LukED subunit E;-0.49;0.93212;-0.25;0.8264;-0.02;1;-0.09;1
SAUSA300_RS09690;-;hypothetical protein;0.33;0.99124;0.05;1;0.11;1;-0.18;0.97746
SAUSA300_RS09695;-;DUF1828 domain-containing protein;-0.76;0.23253;-0.3;0.77889;-0.12;1;-0.38;0.67537
SAUSA300_RS09740;-;alpha/beta hydrolase;-0.93;0.3021;-0.27;0.89186;-0.48;0.49084;0.19;0.98563
SAUSA300_RS09760;hemE;uroporphyrinogen decarboxylase;-0.3;1;-0.69;0.55493;0.52;0.96952;0.16;1
SAUSA300_RS09765;-;hypothetical protein;-2.56;0.98491;1.79;0.8327;1.67;0.89681;0.55;1
SAUSA300_RS09770;traP;signal transduction protein TRAP;-0.42;1;-0.78;0.8264;-0.86;0.72322;-1.03;0.59265
SAUSA300_RS09775;-;ABC transporter permease;1.24;0.27675;-0.3;0.91776;0.07;1;-0.34;0.90306
SAUSA300_RS09780;-;ABC transporter ATP-binding protein;0.78;0.8632;-0.75;0.5783;-0.27;1;-0.28;0.9739
SAUSA300_RS09785;-;HIT family protein;-0.54;0.98491;0.15;1;0.72;0.82665;0.39;0.97746
SAUSA300_RS09790;-;YtxH domain-containing protein;1.6;0.96622;-0.44;1;-0.54;1;-0.25;1
SAUSA300_RS09795;-;DUF3267 domain-containing protein;0.91;0.26801;0.91;0.00693;0.96;0;0.98;0
SAUSA300_RS09800;-;peptidylprolyl isomerase;0.75;0.96622;-0.19;1;-0.17;1;-0.69;0.88532
SAUSA300_RS09810;-;AAA family ATPase;1.02;0.62937;1.36;0.17944;1.24;0.01321;1.54;0
SAUSA300_RS09820;-;hypothetical protein;-4.55;0.67203;1.09;0.61467;1.74;0.44542;1.57;0.75246
SAUSA300_RS09825;-;YlbF/YmcA family competence regulator;0.08;1;0.34;1;-0.35;1;0.27;1
SAUSA300_RS09830;-;DUF445 domain-containing protein;-1.19;0.0052;-0.55;0.24951;0.06;1;-0.5;0.35809
SAUSA300_RS09835;-;helix-turn-helix transcriptional regulator;-0.29;1;-0.51;0.66252;-0.69;0.55732;-0.5;0.69663
SAUSA300_RS09840;-;response regulator transcription factor;-1.69;0.09442;-0.28;0.97452;-0.22;0.99975;-0.66;0.59265
SAUSA300_RS09845;-;GAF domain-containing sensor histidine kinase;-0.15;1;-0.35;0.62465;-0.04;1;-0.38;0.51708
SAUSA300_RS09850;-;RluA family pseudouridine synthase;-1.85;0.0052;-0.07;1;0.14;1;-0.15;1
SAUSA300_RS09855;fumC;class II fumarate hydratase;-1;0.79858;0.25;0.96117;-0.12;1;-0.06;1
SAUSA300_RS09860;-;hypothetical protein;0.29;1;0.31;0.8569;0.26;0.99761;0.09;1
SAUSA300_RS09875;-;glucosamine-6-phosphate isomerase;0.47;1;-0.58;0.87871;-0.42;1;-1.06;0.59265
SAUSA300_RS09880;trmL;tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL;1.27;0.64902;1.06;0.05278;0.9;0.44542;0.75;0.39192
SAUSA300_RS09885;queG;tRNA epoxyqueuosine(34) reductase QueG;-0.26;1;0.21;0.95761;0.07;1;0.05;1
SAUSA300_RS09890;-;amino acid ABC transporter ATP-binding protein;-0.2;1;-0.29;0.94065;-0.51;0.82665;-0.25;1
SAUSA300_RS09895;-;ABC transporter permease subunit;1.79;0;0.64;0.02752;0.56;0.02864;0.6;0.0484
SAUSA300_RS09900;-;PTS transporter subunit IIC;0.51;0.85259;-0.18;0.97831;0.12;1;0.24;0.89558
SAUSA300_RS09905;-;ISL3-like element IS1181 family transposase;0.46;0.74329;-0.63;0.1041;-0.39;0.63197;-0.6;0.17306
SAUSA300_RS10060;perR;peroxide-responsive transcriptional repressor PerR;-0.55;0.99226;0.99;0.18797;0.66;0.8831;0.83;0.59265
SAUSA300_RS10065;-;phosphoglycerate dehydrogenase;0.04;1;-0.39;0.32927;-0.29;0.61022;-0.28;0.69663
SAUSA300_RS10070;bcp;thioredoxin-dependent thiol peroxidase;0.03;1;-0.16;1;-0.23;0.98416;-0.41;0.63899
SAUSA300_RS10075;-;glutamate-1-semialdehyde 2%2C1-aminomutase;-0.06;1;-0.28;0.94065;-0.36;0.93389;0.11;1
SAUSA300_RS10080;-;aromatic acid exporter family protein;-0.57;0.7041;-0.09;1;-0.17;1;0.07;1
SAUSA300_RS10090;-;SAV1866 family putative multidrug efflux ABC transporter;0.21;1;-0.17;0.91359;0.03;1;-0.03;1
SAUSA300_RS10095;-;DUF402 domain-containing protein;-2.85;0.72791;0.09;1;0.36;0.98416;0.24;1
SAUSA300_RS10100;mutY;A/G-specific adenine glycosylase;0.21;1;-0.17;1;-0.21;1;-0.21;1
SAUSA300_RS10105;-;metal-dependent hydrolase;-0.31;1;-0.24;1;-0.34;0.93389;-0.19;1
SAUSA300_RS10115;-;membrane protein;0.05;1;-0.19;0.86942;0.06;1;-0.11;1
SAUSA300_RS10120;-;ABC transporter ATP-binding protein;0.08;1;-0.11;0.98684;-0.01;1;-0.15;0.90306
SAUSA300_RS10125;-;YfhH family protein;-0.53;0.96622;0.07;1;0.56;0.91805;-0.17;1
SAUSA300_RS10130;recX;recombination regulator RecX;-0.12;1;0.16;1;0.34;0.90823;-0.16;1
SAUSA300_RS10135;sgtB;monofunctional peptidoglycan glycosyltransferase SgtB;2.2;0.08893;0.51;0.77889;0.99;0.02864;0.97;0.12592
SAUSA300_RS10140;-;type 1 glutamine amidotransferase;-0.17;1;-0.13;1;0.03;1;-0.05;1
SAUSA300_RS10145;-;SE1561 family protein;-0.08;1;-0.07;1;-0.02;1;-0.34;0.63899
SAUSA300_RS10150;yfkAB;radical SAM/CxCxxxxC motif protein YfkAB;-0.09;1;0.07;1;0.4;0.54581;0.29;0.63899
SAUSA300_RS10155;-;acyl-CoA thioesterase;0.51;0.88771;-0.06;1;0.26;0.90823;0.04;1
SAUSA300_RS10160;-;aminopeptidase;0.16;1;-0.04;1;0.08;1;-0.22;0.74492
SAUSA300_RS10165;-;DUF1128 family protein;0.33;1;0.07;1;0.22;0.98853;0;1
SAUSA300_RS10170;-;low molecular weight phosphotyrosine protein phosphatase;1.01;0.63928;0.12;0.98589;0.59;0.64931;0.53;0.59265
SAUSA300_RS10175;-;YtxH domain-containing protein;-2.75;1;0.05;1;-1.49;1;0.06;1
SAUSA300_RS10180;-;YihY/virulence factor BrkB family protein;-0.01;1;0.05;1;0;1;0.06;1
SAUSA300_RS10185;vraR;two-component system response regulator VraR;-1.29;1;3.19;0.00395;1.09;0.97418;3.67;0.00501
SAUSA300_RS10190;-;sensor histidine kinase;-0.25;1;4.08;0;1.76;0.5947;3.47;0
SAUSA300_RS10195;liaF;cell wall-active antibiotics response protein LiaF;-2.75;0.19545;1.96;0;0.08;1;1.88;0
SAUSA300_RS10200;-;hypothetical protein;0.36;1;0.54;0.8264;0.1;1;0.63;0.89558
SAUSA300_RS10215;-;aromatic acid exporter family protein;0.3;1;0.18;0.96117;0.24;0.95945;0.1;1
SAUSA300_RS10230;-;hypothetical protein;1.39;0.63928;0.24;0.97452;0.31;0.95945;0.24;1
SAUSA300_RS10235;-;hypothetical protein;-1.57;0.87915;-0.32;1;-0.53;1;-0.66;1
SAUSA300_RS10240;-;type 1 glutamine amidotransferase;-3.03;1;-1.79;1;-1.94;1;-1.84;1
SAUSA300_RS10250;ftnA;H-type ferritin FtnA;0.25;1;0.03;1;0.01;1;0.36;0.75246
SAUSA300_RS10255;-;hypothetical protein;-3.83;0.84393;0.67;0.98589;0.53;0.98853;0.05;1
SAUSA300_RS10260;-;3'-5' exonuclease;0.45;0.88771;-0.25;0.6838;-0.28;0.5947;-0.07;1
SAUSA300_RS10265;dinB;DNA polymerase IV;-0.22;1;-0.06;1;0.14;1;-0.34;0.90306
SAUSA300_RS10270;-;DUF3267 domain-containing protein;0.23;1;-0.26;0.97831;-0.04;1;0.21;0.98563
SAUSA300_RS10275;rlmD;23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD;0.14;1;-0.06;1;0.06;1;-0.08;1
SAUSA300_RS10280;-;diacylglycerol kinase;-0.3;1;-0.62;1;-0.02;1;-0.83;1
SAUSA300_RS10285;-;hypothetical protein;-0.04;1;-0.4;0.79712;-0.45;0.88965;-0.32;0.97746
SAUSA300_RS10305;putP;sodium/proline symporter PutP;0.22;0.98197;-0.3;0.53236;0;1;-0.18;0.82127
SAUSA300_RS10310;-;CamS family sex pheromone protein;0.4;0.95283;-0.06;1;0.27;0.8348;0.25;0.83319
SAUSA300_RS10325;-;heptaprenylglyceryl phosphate synthase;0.02;1;-0.28;0.99937;0.38;0.98675;-0.33;0.92432
SAUSA300_RS10330;-;YerC/YecD family TrpR-related protein;-1.17;0.99124;-0.58;0.99426;-0.47;1;-0.36;1
SAUSA300_RS10335;purB;adenylosuccinate lyase;0.51;0.90275;2.01;0;1.71;0;1.07;0.06407
SAUSA300_RS10340;scpA;cysteine protease staphopain A;-0.28;0.91262;-0.58;0.02315;-0.38;0.31313;-0.48;0.12644
SAUSA300_RS10345;-;staphostatin A;0.3;1;0.45;0.59997;0.2;0.99166;0.65;0.46202
SAUSA300_RS10350;-;NETI motif-containing protein;-1.42;0.84393;-0.24;1;-0.43;1;-0.59;1
SAUSA300_RS10355;-;DUF2179 domain-containing protein;-0.48;0.99124;-0.17;1;-0.1;1;0.04;1
SAUSA300_RS10370;-;nitric oxide synthase oxygenase;0.4;0.8278;-0.44;0.30895;-0.04;1;-0.07;1
SAUSA300_RS10375;-;prephenate dehydratase;0.83;0.26801;0.09;1;0.32;0.76849;0.12;1
SAUSA300_RS10380;-;hypothetical protein;-6.67;0.64902;0.13;1;-0.78;1;-0.27;1
SAUSA300_RS10385;-;SLC13 family permease;0.05;1;0;1;-0.15;0.99761;-0.38;0.40534
SAUSA300_RS10390;-;pectate lyase;0.18;1;-0.12;0.95324;0.2;0.8831;-0.16;0.93411
SAUSA300_RS10395;-;cysteine hydrolase;0.29;1;0.47;0.53236;0.21;0.99761;0.61;0.31039
SAUSA300_RS10405;-;hypothetical protein;1.09;0.85259;-0.1;1;0.06;1;0.06;1
SAUSA300_RS10410;-;aldehyde dehydrogenase;1.16;0.51728;0.6;0.15362;0.6;0.31313;0.66;0.23278
SAUSA300_RS10415;-;lactonase family protein;0.56;1;1.78;0.31652;1.32;0.43526;0.85;0.84379
SAUSA300_RS10420;-;YolD-like family protein;1.67;0.42964;0.39;0.77285;0.9;0.18407;0.26;0.98563
SAUSA300_RS10425;-;hypothetical protein;0.87;0.97212;-0.02;1;0.35;0.96952;-0.16;1
SAUSA300_RS10430;-;C45 family autoproteolytic acyltransferase/hydolase;-0.36;0.89432;-0.3;0.78619;-0.1;1;-0.06;1
